"id","regtime(in unixtime)","country","device","app_language","user_language"
"02f88a82195defcad799e4da9f738ae0","1472503318","US","samsung SM-N920P","en","en_US"
"0366d52ff4681f959f64c25613743e37","1472670059","US","samsung SM-S975L","en","en_US"
"031f722b561bb8ef3ca37ea17860f985","1472246702","US","samsung SM-G900P","en","en_US"
"03bbbc07cb54b3812f7ce0590d95d347","1472346781","BR","samsung GT-S7390L","en","pt_BR"
"053f6da752c0730b25fa1f954a033191","1472542617","PL","Sony D2303","en","pl_PL"
"055b75c9f53228b6603f8447567541be","1472233681","BR","LENOVO Lenovo A6020l36","en","pt_BR"
"0576d591f46a107dd4933bb4b9bf67e8","1472251621","US","samsung SM-T560","en","cs_CZ"
"045e96d39197597a2bb69e416b643a65","1472494920","BE","samsung SM-T113","en","nl_BE"
"03fd8e04964898142516f3c98eb4fe40","1472321280","DE","samsung SM-G930F","de","de_DE"
"07675363d7ce7e17f9e45613c1fd6ee1","1472547477","PL","Sony E5603","en","pl_PL"
"07bba7fd051716cb60eb040610d8c1e4","1472248082","BR","samsung SM-G531H","en","pt_BR"
"08596f155eaf2fa1e4b0edd7a1f018ad","1472339290","US","samsung SAMSUNG-SM-J320A","en","en_US"
